taxid	kingdom	phylum	class	order	family	genus	species
933852		Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	Serendipita vermifera
933926		Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Sinobacterium	Sinobacterium caligoides
93506							
9397		Chordata	Mammalia	Chiroptera			
940550		Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Gilvimarinus	
940557		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella	
9407		Chordata	Mammalia	Chiroptera	Pteropodidae	Rousettus	Rousettus aegyptiacus
941183		Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	Nocardia fusca
94130		Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus clarus
941420							uncultured organism CA37
941422							uncultured organism CA915
941843		Pseudomonadota	Alphaproteobacteria	Rhodospirillales			
94254		Bacteroidota	Cytophagia	Cytophagales	Spirosomataceae	Dyadobacter	Dyadobacter fermentans
943815		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces shenzhenensis
944288		Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Plicatura	Plicatura crispa
946078		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	Micromonospora sediminicola
