taxid	kingdom	phylum	class	order	family	genus	species
1234261		Rotifera	Eurotatoria	Philodinida	Philodinidae	Didymodactylos	Didymodactylos carnosus
1236		Pseudomonadota	Gammaproteobacteria				
1238427		Methanobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halonotius	Halonotius sp. J07HN6
124430			Pinguiophyceae	Pinguiochrysidales	Pinguiochrysidaceae	Phaeomonas	Phaeomonas parva
1257118		Discosea		Longamoebia	Acanthamoebidae	Acanthamoeba	Acanthamoeba castellanii
126		Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae		
1282		Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
1291522		Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Helicosporidium	Helicosporidium sp. ATCC 50920
1294199		Arthropoda	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora carolleeae
1300035		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Bradyrhizobium	Bradyrhizobium retamae
1301283		Cyanobacteriota	Cyanophyceae				
1313172		Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Ilumatobacter	Ilumatobacter coccineus
1314962		Euglenozoa	Kinetoplastea		Ichthyobodonidae	Perkinsela	Perkinsela sp. CCAP 1560/4
131567							
1316194		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium subrubescens
13221		Haptophyta		Isochrysidales	Isochrysidaceae	Chrysotila	Chrysotila carterae
1353136		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. CBW1004
13599		Mollusca	Polyplacophora	Chitonida	Chitonidae	Liolophura	Liolophura japonica
1365253		Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas luteoviolacea
1385		Bacillota	Bacilli	Caryophanales			
138563		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter cetorum
1385935		Cyanobacteriota	Cyanophyceae	Leptolyngbyales	Leptolyngbyaceae	Leptolyngbya	Leptolyngbya sp. Heron Island J
1400865		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. BIOS-U3-1
1410327		Evosea	Eumycetozoa	Acytosteliales	Acytosteliaceae	Acytostelium	Acytostelium subglobosum
1410381			Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	Amoebophrya sp. A25
1421715		Arthropoda	Insecta	Coleoptera	Lampyridae	Aquatica	Aquatica leii
1437183		Streptophyta	Magnoliopsida				
1437201		Streptophyta	Magnoliopsida				
1442553		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. M16.1
1446379		Streptophyta	Pinopsida	Cupressales			
1456591		Pseudomonadota	Alphaproteobacteria	Kordiimonadales	Temperatibacteraceae	Temperatibacter	Temperatibacter marinus
147550		Ascomycota	Sordariomycetes				
1479485		Cyanobacteriota	Cyanophyceae	Nostocales	Tolypothrichaceae	Tolypothrix	Tolypothrix bouteillei
149698		Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	
1503054		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia stagnalis
150830		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Roseibium	
1514080		Bacteroidota	Saprospiria	Saprospirales	Lewinellaceae	Neolewinella	Neolewinella xylanilytica
1517702		Actinomycetota	Actinomycetes	Mycobacteriales	Gordoniaceae	Gordonia	Gordonia jinhuaensis
1518452		Arthropoda	Malacostraca	Amphipoda	Lysianassidae	Hirondellea	Hirondellea gigas
1519565		Bacillariophyta	Bacillariophyceae	Naviculales	Stauroneidaceae	Fistulifera	Fistulifera solaris
1519616			Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium sp. CCMP2456
1543705		Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Nitrospirillum	
1549638		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Quisquiliibacterium	Quisquiliibacterium transsilvanicum
156133		Prasinodermophyta	Prasinodermophyceae	Prasinodermales	Prasinodermaceae	Prasinoderma	Prasinoderma coloniale
1561972							seawater metagenome
158627		Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas graminis
159733		Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	uncultured Prochlorococcus sp.
