taxid	kingdom	phylum	class	order	family	genus	species
1314807		Basidiomycota	Agaricomycetes	Agaricales		Dendrothele	Dendrothele bispora
1316785		Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Lachnellula	Lachnellula arida
1316786		Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Lachnellula	Lachnellula cervina
1316788		Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Lachnellula	Lachnellula hyalina
132259		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus pseudotamarii
1324776		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium malachiteum
1328758		Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Lentinus	Lentinus tigrinus
1328759		Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Lentinus	Lentinus tigrinus
1328760		Ascomycota	Xylonomycetes	Xylonales	Xylonaceae	Xylona	Xylona heveae
1330021		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps polyrhachis-furcata
1336337		Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Choiromyces	Choiromyces venosus
1337664		Ascomycota	Sordariomycetes	Amphisphaeriales	Apiosporaceae	Apiospora	Apiospora hydei
1337665		Ascomycota	Sordariomycetes	Amphisphaeriales	Apiosporaceae	Apiospora	Apiospora kogelbergensis
1340010		Ascomycota	Lecanoromycetes	Lecanorales	Stereocaulaceae	Lepraria	Lepraria finkii
1340428		Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormia	Sporormia fimetaria
1341132		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus welwitschiae
1343394		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium maclennaniae
1346257		Ascomycota	Dothideomycetes	Patellariales	Patellariaceae	Patellaria	Patellaria atrata
1347390		Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum spinosum
135208		Basidiomycota	Agaricomycetes	Russulales	Hericiaceae	Hericium	Hericium alpestre
1353008		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus niger
1353009		Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes coccinea
1356009		Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Paecilomyces	Paecilomyces variotii
136370		Ascomycota	Lecanoromycetes	Umbilicariales	Umbilicariaceae	Lasallia	Lasallia pustulata
1380566		Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Pochonia	Pochonia chlamydosporia
